symbol	Z	name	element_id	molar_mass	density_solid	density_liquid	density_gas_stp	specific_heat_solid	specific_heat_liquid	specific_heat_gas	thermal_conductivity_solid	thermal_conductivity_liquid	thermal_conductivity_gas	melt_K	boil_K	L_fusion	L_vaporization	critical_T	critical_P	mohs_max	mohs_multiplier	elastic_modulus	elastic_limit	tensile_limit	P_U_coupling_solid	P_U_coupling_liquid	P_U_coupling_gas	emissivity_solid	emissivity_liquid	albedo_solid	albedo_liquid	is_ferromagnetic	curie_K	susceptibility	remanence_fraction	precipitation_rate_default	dissolution_rate_default	pressure_mantissa_scale_gas	pressure_mantissa_scale_liquid	pressure_mantissa_scale_solid	energy_scale
Si	14	Silicon	14	28.085	2329	2570	0	710	968	840	149	56	0.020	1687	3538	1.788e6	1.364e7	5159	5.3e7	7	2.0	1.70e11	1.20e8	1.30e8	0.0078125	0.125	1.0	0.60	0.30	0.30	0.70	false	0	0	0	1.0	1.0	64	32768	65536	1.0
H	1	Hydrogen	1	1.008	89	70.85	0.08988	2200	10000	14304	0.18	0.103	0.182	14.01	20.28	58000	445400	33.2	1.297e6	1	2.0	3.0e8	1.0e7	1.2e7	0.01	0.1	1.0	0.40	0.30	0.50	0.30	false	0	0	0	1.0	1.0	1	8	64	1.0
O	8	Oxygen	8	15.999	1141	1141	1.429	294	1700	918	0.276	0.151	0.0263	54.36	90.19	13900	213000	154.6	5.043e6	1	2.0	3.0e9	2.0e7	3.0e7	0.01	0.1	1.0	0.40	0.30	0.50	0.30	false	0	0	0	1.0	1.0	1	16	256	1.0
